rho	mt	ms	pve	alpha	power
75	25	50	0.6	1e-05	0.5
75	25	50	0.7	0.05	1
75	25	50	0.7	0.001	0.91
75	25	50	0.7	1e-05	0.58
75	25	50	0.8	0.05	1
75	25	50	0.8	0.001	0.935
75	25	50	0.8	1e-05	0.685
75	25	50	0.9	0.05	1
75	25	50	0.9	0.001	0.995
75	25	50	0.9	1e-05	0.825
75	25	50	1	0.05	1
75	25	50	1	0.001	0.98
75	25	50	1	1e-05	0.855
0	50	0	0.1	0.05	0.205
0	50	0	0.1	0.001	0.005
0	50	0	0.1	1e-05	0
0	50	0	0.2	0.05	0.27
0	50	0	0.2	0.001	0.015
0	50	0	0.2	1e-05	0
0	50	0	0.3	0.05	0.41
0	50	0	0.3	0.001	0.065
0	50	0	0.3	1e-05	0
0	50	0	0.4	0.05	0.505
0	50	0	0.4	0.001	0.095
0	50	0	0.4	1e-05	0.005
0	50	0	0.5	0.05	0.545
0	50	0	0.5	0.001	0.15
0	50	0	0.5	1e-05	0.01
0	50	0	0.6	0.05	0.675
0	50	0	0.6	0.001	0.165
0	50	0	0.6	1e-05	0.015
0	50	0	0.7	0.05	0.715
0	50	0	0.7	0.001	0.21
0	50	0	0.7	1e-05	0.025
0	50	0	0.8	0.05	0.755
0	50	0	0.8	0.001	0.255
0	50	0	0.8	1e-05	0.035
0	50	0	0.9	0.05	0.81
0	50	0	0.9	0.001	0.365
0	50	0	0.9	1e-05	0.08
0	50	0	1	0.05	0.865
0	50	0	1	0.001	0.415
0	50	0	1	1e-05	0.09
25	50	0	0.1	0.05	0.15
25	50	0	0.1	0.001	0.02
25	50	0	0.1	1e-05	0
25	50	0	0.2	0.05	0.26
25	50	0	0.2	0.001	0.04
25	50	0	0.2	1e-05	0
25	50	0	0.3	0.05	0.31
25	50	0	0.3	0.001	0.05
25	50	0	0.3	1e-05	0.005
25	50	0	0.4	0.05	0.48
25	50	0	0.4	0.001	0.095
25	50	0	0.4	1e-05	0
25	50	0	0.5	0.05	0.6
25	50	0	0.5	0.001	0.125
25	50	0	0.5	1e-05	0.01
25	50	0	0.6	0.05	0.65
25	50	0	0.6	0.001	0.245
25	50	0	0.6	1e-05	0.045
25	50	0	0.7	0.05	0.7
25	50	0	0.7	0.001	0.235
25	50	0	0.7	1e-05	0.055
25	50	0	0.8	0.05	0.815
25	50	0	0.8	0.001	0.295
25	50	0	0.8	1e-05	0.06
25	50	0	0.9	0.05	0.82
25	50	0	0.9	0.001	0.37
25	50	0	0.9	1e-05	0.08
25	50	0	1	0.05	0.785
25	50	0	1	0.001	0.4
25	50	0	1	1e-05	0.08
50	50	0	0.1	0.05	0.165
50	50	0	0.1	0.001	0
50	50	0	0.1	1e-05	0
50	50	0	0.2	0.05	0.26
50	50	0	0.2	0.001	0.035
50	50	0	0.2	1e-05	0
50	50	0	0.3	0.05	0.485
50	50	0	0.3	0.001	0.1
50	50	0	0.3	1e-05	0.01
50	50	0	0.4	0.05	0.535
50	50	0	0.4	0.001	0.09
50	50	0	0.4	1e-05	0.005
50	50	0	0.5	0.05	0.545
50	50	0	0.5	0.001	0.17
50	50	0	0.5	1e-05	0.015
50	50	0	0.6	0.05	0.63
50	50	0	0.6	0.001	0.21
50	50	0	0.6	1e-05	0.04
50	50	0	0.7	0.05	0.8
50	50	0	0.7	0.001	0.3
50	50	0	0.7	1e-05	0.03
50	50	0	0.8	0.05	0.83
50	50	0	0.8	0.001	0.365
50	50	0	0.8	1e-05	0.04
50	50	0	0.9	0.05	0.83
50	50	0	0.9	0.001	0.38
