n0	rho	mt	ms	pve	Parameter	N	Bias	ModelVar	EmpiricalVar
1000	50	50	25	0	S22	2000	1.00007227979632	0.000660095094014016	0.000616919944314831
1000	75	50	25	0	b.biv	2000	-0.000550229145545862	0.000581172171629589	0.000577274804588485
1000	75	50	25	0	b.uni	2000	-0.000742433690484259	0.000760060957788733	0.000763078325218032
1000	75	50	25	0	a	2000	0.000270309898114493	0.000445448146119839	0.000451392438197216
1000	75	50	25	0	S11	2000	0.99937401830647	0.000880025843048842	0.000882898719912237
1000	75	50	25	0	S12	2000	0.751256354088925	0.000564958618976781	0.000574852451980313
1000	75	50	25	0	S22	2000	0.998764983075695	0.000625698243468306	0.000675184680561257
1000	0	75	0	0	b.biv	2000	0.000762964323737631	0.00151535646431528	0.00160449548921187
1000	0	75	0	0	b.uni	2000	0.000743419090506822	0.00151491945221809	0.00160322001556158
1000	0	75	0	0	a	2000	0.000288476990837134	0.000378551585822091	0.000384868268698611
1000	0	75	0	0	S11	2000	0.994166484528779	0.00198147963298697	0.00209310315601361
1000	0	75	0	0	S12	2000	-0.00129741980132945	0.000991507212852693	0.0008640052912261
1000	0	75	0	0	S22	2000	0.997917751348528	0.000498152996329081	0.000409830618242747
1000	25	75	0	0	b.biv	2000	0.00136650961932039	0.00145714748070578	0.00144810891383709
1000	25	75	0	0	b.uni	2000	0.00169701954649392	0.0015276725833585	0.00154120197226379
1000	25	75	0	0	a	2000	-0.00061889975138098	0.000378729350983658	0.000377826078773674
1000	25	75	0	0	S11	2000	1.00468556335941	0.00201624084842715	0.00174299506322917
1000	25	75	0	0	S12	2000	0.248652004041335	0.000975018203628127	0.000937461608441263
1000	25	75	0	0	S22	2000	1.00163567620523	0.000501888955696457	0.000444111660829565
1000	50	75	0	0	b.biv	2000	0.00101591335281661	0.00123503492942522	0.0012198028700836
1000	50	75	0	0	b.uni	2000	0.000426225011552455	0.0015188434819377	0.00154255752842399
1000	50	75	0	0	a	2000	0.00140432167732422	0.000378138788301795	0.00037329262890683
1000	50	75	0	0	S11	2000	0.999628145274069	0.00190701548716986	0.00178583346431595
1000	50	75	0	0	S12	2000	0.499562321843353	0.000873458446067425	0.000749836227628567
1000	50	75	0	0	S22	2000	0.998938171502748	0.000499183103206518	0.000465425894356414
1000	75	75	0	0	b.biv	2000	0.00127230179790466	0.000882625569204446	0.000851723034257717
1000	75	75	0	0	b.uni	2000	0.00111641946381986	0.00152921536882109	0.00144879871583571
1000	75	75	0	0	a	2000	0.000179385077698674	0.00037866207835538	0.000371957529165174
1000	75	75	0	0	S11	2000	1.00268057302878	0.00153232944858771	0.00133880014602827
1000	75	75	0	0	S12	2000	0.751211140241702	0.000719287605004613	0.000656439926034343
1000	75	75	0	0	S22	2000	0.998838842857871	0.000499077518467863	0.000433646913238246
